dec_long_va	dec_lat_va	GW_Level_NAVD	Well_ID	WellDepth_BLS	WellDepth_NAVD	GWL_Shallow	GWL_Middle	GWL_Deep
-95.1189444	29.56341667	-34.882850000000005	293348095070604.0	936.3	-930.9	19.8	9.3	-1.2
-94.8011111	29.30027778	-0.7437	291800094480301.0	935.7	-933.5	54.1	43.6	33.1
-95.4786111	30.42277778	44.068	302522095284301.0	896.1	-777.1	88.0	77.5	67.0
-95.4955556	30.38	45.0769	302248095294401.0	863.8	-772.8	88.7	78.2	67.7
-95.159275	29.71015833	-22.4485	294237095093204.0	862.9	-854.3	26.9	16.4	5.9
-95.5011111	30.4261111	43.2603	302534095300401.0	818.4	-698.7	81.7	71.2	60.7
-95.6458333	30.38083333	34.3083	302251095384501.0	817.2	-741.4	75.7	65.2	54.7
-95.6166667	30.3922222	39.5295	302332095370001.0	816.9	-748.5	81.4	70.9	60.4
-95.6158333	30.36888889	38.3438	302208095365702.0	794.6	-705.2	77.2	66.7	56.2
-95.788375	30.38089444	47.7896	302251095471801.0	794.6	-716.9	87.5	77.0	66.5
-95.475	30.3422222	51.9806	302032095283001.0	788.2	-708.4	91.1	80.6	70.1
-95.6405556	30.43583333	39.3436	302609095382601.0	753.8	-668.5	75.6	65.1	54.6
-95.4507778	29.727	-51.6148	294338095270402.0	718.7	-700.6	-13.1	-23.6	-34.1
-95.4080556	30.47888889	50.69125	302844095242901.0	693.4	-575.8	80.5	70.0	59.5
-95.3339722	29.79088889	-57.9912	294728095200106.0	661.4	-647.2	-23.2	-33.7	-44.2
-95.5633083	30.47179167	39.3009	302818095334801.0	643.7	-565.1	68.4	57.9	47.4
-95.7477778	29.72416667	21.2415	294327095445201.0	609.6	-579.1	51.3	40.8	30.3
-95.1822222	29.7361111	-41.8887	294409095105501.0	599.5	-593.3	-10.9	-21.4	-31.9
-95.4513889	29.73027778	-65.788	294348095270401.0	598.9	-581.8	-35.6	-46.1	-56.6
-95.6672222	29.56055556	-55.80585	293340095400501.0	598.6	-577.1	-25.9	-36.4	-46.9
-95.4513889	29.7275	-59.6661	294338095270403.0	592.2	-575.2	-29.9	-40.4	-50.9
-95.6869444	29.55888889	-54.41445	293332095411301.0	591.9	-570.4	-25.0	-35.5	-46.0
-95.1455278	29.9132222	-34.51405	295449095084105.0	591.3	-575.5	-4.7	-15.2	-25.7
-95.1591667	29.71055556	-37.7099	294237095093207.0	553.8	-545.4	-10.0	-20.5	-31.0
-95.5861389	29.79069444	-80.3575	294726095351102.0	549.2	-521.5	-54.4	-64.9	-75.4
-95.6833333	29.56583333	-51.7337	293356095405901.0	543.8	-521.6	-25.7	-36.2	-46.7
-95.6261111	29.64166667	-38.21885	293830095373201.0	541.0	-515.6	-12.6	-23.1	-33.6
-95.5030556	29.67916667	-54.5287	294044095301001.0	539.5	-522.1	-28.5	-39.0	-49.5
-95.5725	29.65916667	-73.088	293933095342101.0	535.8	-512.2	-47.7	-58.2	-68.7
-95.5771667	30.43280556	42.9494	302558095343801.0	532.8	-457.2	64.5	54.0	43.5
-95.1192778	29.56375	-23.2471	293349095070901.0	530.4	-524.4	3.0	-7.5	-18.0
-95.1680556	29.74027778	-41.0596	294424095100401.0	530.4	-527.8	-14.6	-25.1	-35.6
-95.4744444	29.66194444	-48.8259	293942095283101.0	528.8	-511.1	-23.5	-34.0	-44.5
-95.6305556	29.59638889	-55.05605	293546095374901.0	525.5	-503.8	-30.3	-40.8	-51.3
-95.6183333	29.79	-81.2871	294723095370501.0	521.8	-494.2	-57.2	-67.7	-78.2
-95.4458333	29.8811111	-55.3669	295251095264502.0	517.6	-491.2	-31.5	-42.0	-52.5
-95.3194444	29.93194444	-61.49345	295553095191201.0	512.1	-490.2	-37.7	-48.2	-58.7
-95.4416667	29.8747222	-46.85235	295228095262901.0	508.4	-482.0	-23.6	-34.1	-44.6
-95.605	29.6872222	-72.2102	294113095361701.0	508.1	-483.4	-48.9	-59.4	-69.9
-95.6166667	29.6286111	-66.0776	293736095365501.0	507.5	-482.6	-42.8	-53.3	-63.8
-95.4419167	29.87438889	-82.1802	295228095263101.0	506.3	-480.0	-59.1	-69.6	-80.1
-95.6022222	29.6922222	-42.3794	294131095360701.0	502.9	-478.4	-19.4	-29.9	-40.4
-95.6697222	29.78833333	-83.186	294717095401001.0	500.2	-470.0	-60.8	-71.3	-81.8
-95.3927778	30.13666667	-53.32785	300812095233401.0	499.9	-465.5	-31.2	-41.7	-52.2
-95.1570556	30.2453611	-4.818899999999999	301443095091801.0	499.6	-462.2	17.0	6.5	-4.0
-95.4377778	29.8675	-79.88655	295203095261401.0	498.3	-472.1	-57.3	-67.8	-78.3
-95.1147222	29.8747222	-25.583350000000003	295228095065101.0	496.2	-481.6	-2.4	-12.9	-23.4
-95.1216667	29.87444444	-33.0312	295226095071801.0	495.3	-481.5	-9.8	-20.3	-30.8
-95.5991667	29.70055556	-43.373	294201095355601.0	494.1	-470.2	-21.0	-31.5	-42.0
-95.5238889	29.72166667	-55.21755	294317095313001.0	491.3	-470.6	-32.8	-43.3	-53.8
-95.5719444	29.7172222	-72.7207	294301095341801.0	490.7	-467.6	-50.5	-61.0	-71.5
-95.6061111	29.7147222	-45.75045	294252095362101.0	490.7	-467.1	-23.6	-34.1	-44.6
-95.1277778	29.87555556	-32.9154	295229095074101.0	490.1	-476.0	-10.1	-20.6	-31.1
-95.7963889	29.55305556	-23.26535	293314095474702.0	488.9	-458.0	-1.7	-12.2	-22.7
-95.3338889	29.79138889	-52.9102	294728095200102.0	486.5	-472.4	-30.3	-40.8	-51.3
-95.7877778	29.54055556	-24.65525	293226095471601.0	481.6	-452.9	-3.5	-14.0	-24.5
-95.1158333	29.83166667	-45.6941	294953095065601.0	480.1	-468.1	-23.4	-33.9	-44.4
-95.5872222	29.79027778	-42.4678	294724095351401.0	480.1	-452.4	-21.3	-31.8	-42.3
-95.5725	29.80583333	-76.2427	294820095342002.0	479.5	-450.7	-55.2	-65.7	-76.2
-95.1205556	29.835	-31.14595	295005095071301.0	478.5	-466.5	-9.0	-19.5	-30.0
-95.1077778	29.875	-32.33315	295229095062701.0	477.9	-464.3	-10.3	-20.8	-31.3
-95.1152778	29.88305556	-25.5087	295259095065401.0	475.5	-461.2	-3.7	-14.2	-24.7
-95.5736111	29.8125	-79.7387	294844095342401.0	474.3	-445.5	-59.1	-69.6	-80.1
-95.5044444	29.70444444	-66.7878	294215095301502.0	472.4	-452.9	-45.6	-56.1	-66.6
-95.6080556	29.69638889	-41.6936	294149095363002.0	472.4	-447.6	-20.9	-31.4	-41.9
-95.2241667	29.82583333	-47.5366	294932095132601.0	471.8	-461.2	-25.8	-36.3	-46.8
-95.3375	29.98027778	-57.595	295850095201301.0	470.9	-443.5	-37.0	-47.6	-58.0
-95.3455556	29.98194444	-49.62905	295855095204301.0	469.4	-442.3	-29.2	-39.7	-50.2
-95.5702778	29.8247222	-91.9993	294925095341201.0	465.7	-436.3	-72.0	-82.5	-93.0
-95.1177778	29.835	-50.2752	295005095070301.0	465.4	-453.5	-29.0	-39.5	-50.0
-95.4305556	29.86416667	-55.79365	295150095254601.0	463.3	-437.5	-35.7	-46.2	-56.7
-95.4847222	29.7247222	-55.7479	294328095290402.0	462.7	-443.9	-35.2	-45.7	-56.2
-95.5272222	29.83083333	-77.72399999999999	294950095313702.0	461.2	-433.8	-57.9	-68.4	-78.9
-95.4658333	29.7261111	-52.56125	294333095275602.0	460.2	-442.7	-32.1	-42.6	-53.1
-95.5391667	29.70388889	-40.3586	294213095322001.0	460.2	-439.6	-20.1	-30.6	-41.1
