Longitude	Latitude	Year	GWL_BLS(ft)	Well_Depth_BLS(ft)	LSE_NAVD(ft)	Well_ID	TWEB_ID	Year	mm	dd	yyyy	Decimal_Year		Wee_bottom_NAVD
-95.55944	28.93222	1/1/1920	22.0	550	6.4	285555095333301	8104502	1/1/1920	1	1	1920	1920.00274		-543.7
-95.49500	29.42944	4/10/1931	8.0	220	61.0	292545095294101	6537403	4/10/1931	4	10	1931	1931.278082		-159.0
-95.48417	29.43250	4/10/1931	18.0	300	60.2	292556095290201	6537404	4/10/1931	4	10	1931	1931.278082		-239.8
-95.48000	29.39583	4/13/1931	15.0	300	59.9	292344095284701	6537704	4/13/1931	4	13	1931	1931.286301		-240.1
-95.47222	29.21472	4/14/1931	1.0	635	35.6	291252095281901	6553103	4/14/1931	4	14	1931	1931.289041		-599.4
-95.54028	28.96917	10/30/1936	0.0	478	12.1	285808095322401	8104309	10/30/1936	10	30	1936	1936.834247		-465.9
-95.62139	29.18833	11/6/1936	18.7	135	34.0	291117095371601	6552406	11/6/1936	11	6	1936	1936.852055		-101.0
-95.57389	28.98611	6/1/1937	9.0	98	12.2	285909095342501	8104205	6/1/1937	6	1	1937	1937.420548		-85.8
-95.54417	29.39972	1/1/1939	12.0	655	51.3	292358095323801	6536801	1/1/1939	1	1	1939	1939.00274		-603.8
-95.34778	29.22972	5/18/1939	22.2	600	23.9	291346095205101	6554103	5/18/1939	5	18	1939	1939.383562		-576.1
-94.88083	29.72083	1/1/1917	20.0	110	28.4	294314094525001	6417306	1/1/1917	1	1	1917	1917.00274		-81.6
-94.80639	29.84222	1/1/1926	10.0	370	22.1	295031094482201	6410206	1/1/1926	1	1	1926	1926.00274		-347.9
-94.91500	29.69722	1/1/1926	25.0	550	8.0	294149094545301	6417604	1/1/1926	1	1	1926	1926.00274		-542.0
-94.89528	29.66250	1/1/1926	20.0	600	24.8	293944094534201	6417906	1/1/1926	1	1	1926	1926.00274		-575.2
-94.91556	29.72333	11/1/1926	24.0	97	26.2	294323094545501	6417308	11/1/1926	11	1	1926	1926.838356		-70.8
-94.83639	29.73806	1/1/1928	21.0	240	22.0	294416094501001	6418105	1/1/1928	1	1	1928	1928.00274		-218.1
-94.92917	29.74806	1/1/1929	25.0	346	13.5	294452094554401	6417212	1/1/1929	1	1	1929	1929.00274		-332.5
-94.59806	29.76389	1/1/1931	13.0	340	19.6	294549094355201	6412706	1/1/1931	1	1	1931	1931.00274		-320.4
-94.92361	29.73917	1/1/1931	20.0	410	11.4	294420094552401	6417209	1/1/1931	1	1	1931	1931.00274		-398.6
-94.87056	29.67611	1/1/1931	30.0	755	20.2	294033094521301	6418407	1/1/1931	1	1	1931	1931.00274		-734.8
-94.82972	29.81111	1/1/1933	21.0	120	26.6	294839094494601	6410503	1/1/1933	1	1	1933	1933.00274		-93.4
-94.85083	29.79861	1/1/1933	18.0	143	29.6	294754094510201	6410408	1/1/1933	1	1	1933	1933.00274		-113.5
