Longitude	Latitude	Depth_BLS	Depth_NAVD	GW_Level	Well_ID
-95.42722	30.00278	17.0	90.52	28.5	300009095253701
-95.9825	29.43111	19.0	70.84	23.12	292551095585601
-95.91722	30.05444	20.0	243.45	79.23	300315095550101
-95.42806	30.01889	20.0	90.7	28.8	300107095254001
-95.40333	30.02167	20.5	85.1	26.49	300117095241101
-95.82389	30.02	22.0	190.63	58.41	300111095492501
-95.90611	29.50167	22.0	88.62	27.62	293005095542101
-95.84694	29.35139	22.5	54.09	17.58	292104095504801
-95.61917	30.06472	23.0	136.71	43.71	300352095370801
-95.46361	30.00778	24.0	93.18	29.71	300027095274802
-95.81278	29.37944	24.0	60.5	19.66	292245095484501
-95.78222	29.4275	26.0	54.26	20.2	292538095465501
-95.44111	30.17833	27.0	102.17	32.53	301041095262701
-95.45639	30.28556	27.0	150.16	47.2	301707095272201
-95.61222	30.05472	30.0	132.66	42.96	300316095364301
-95.92056	30.05528	30.0	220.33	73.25	300318095551302
-95.77889	29.4575	30.0	45.63	19.7	292726095464302
-95.42694	30.05778	32.0	79.82	26.16	300327095253601
-95.98444	29.51861	32.0	81.16	29.92	293106095590301
-95.45694	30.27333	33.0	102.14	32.91	301623095272401
-95.435	30.09139	33.0	100.87	32.85	300528095260501
-96.00306	29.49694	33.4	75.91	24.78	292948096001001
-95.46472	30.32056	34.0	157.36	48.49	301913095275201
-94.57833	29.87083	34.0	1.0	7.62	295214094344101
-95.4375	30.08333	34.7	95.91	32.86	300459095261401
-95.81639	29.41556	38.0	47.83	18.24	292455095485801
-95.45167	30.17556	40.0	121.48	39.95	301031095270501
-94.57167	29.76611	40.0	-18.21	3.59	294557094341701
-95.74806	29.3975	40.0	27.93	15.22	292350095445201
-95.41944	29.95139	41.0	51.79	24.72	295704095250901
-95.91833	30.05639	42.0	226.1	70.59	300322095550501
-95.42778	30.02	45.0	67.27	29.22	300111095253901
-95.88722	29.35056	48.0	27.21	16.22	292101095531301
-95.62083	29.91639	48.0	79.88	36.12	295458095371401
-95.48417	30.35111	50.0	215.71	77.52	302103095290202
-95.77944	29.57306	50.0	49.2	15.36	293422095464501
-95.83833	29.44222	52.0	38.01	21.95	292631095501701
-95.90917	30.09806	60.0	208.96	75.85	300552095543201
-95.99611	29.44917	60.0	36.75	23.39	292656095594501
-95.91556	29.54806	64.0	50.84	24.64	293252095545501
-95.59694	30.11889	65.0	109.63	42.25	300707095354801
-95.77889	29.43111	67.0	12.97	20.11	292551095464301
-95.90361	30.06583	71.0	208.11	69.68	300356095541201
-95.69833	29.97083	72.0	78.69	41.45	295814095415301
-95.86389	29.53	76.0	32.79	25.23	293147095514901
-95.70833	29.51389	79.0	-1.09	11.56	293049095422901
-95.79333	29.50722	80.0	8.61	20.91	293025095473501
-95.83222	29.54667	82.0	20.44	22.08	293247095495501
-95.78639	29.56361	82.0	18.01	18.29	293348095471001
-95.96889	29.52861	82.0	30.07	23.49	293142095580701
-95.84861	29.50722	82.0	17.61	19.69	293025095505401
-95.78083	29.54	82.0	13.42	22.68	293223095465001
-95.78889	29.55694	82.0	17.84	16.72	293324095471901
-95.8775	29.52444	84.0	25.91	26.19	293127095523801
-95.98694	29.47556	84.5	19.44	23.45	292831095591201
-95.69306	29.46278	85.0	-11.62	17.79	292745095413401
-95.93583	29.54528	85.0	28.59	27.92	293242095560801
-95.80833	29.50861	85.0	6.73	18.82	293030095482901
-95.76972	29.58167	86.0	14.35	21.44	293453095461001
-95.93639	29.48361	86.0	17.17	19.25	292900095561001
-95.84528	29.53944	86.0	17.67	22.45	293221095504201
-94.96333	29.84611	88.0	-56.45	6.57	295045094574701
-96.00056	29.44694	90.0	9.37	21.14	292648096000101
-95.84111	29.52167	90.0	8.43	17.81	293117095502701
-95.87722	29.36278	90.0	-10.02	18.28	292145095523701
-94.92222	29.73861	90.0	-76.57	-1.09	294418094551901
-95.80778	29.55167	92.0	8.99	21.64	293305095482701
-94.92667	29.66806	93.0	-87.1	-3.69	294004094553501
-94.63222	29.84778	94.0	-64.11	4.84	295051094375501
-95.9	29.50778	96.0	11.77	22.18	293027095535901
-95.81389	29.55556	97.0	5.86	24.34	293319095484901
-94.91556	29.72333	97.0	-70.84	0.66	294323094545501
-95.57389	28.98611	98.0	-85.84	0.96	285909095342501
-95.92111	29.4675	100.0	-0.17	18.24	292802095551501
-95.77917	29.43139	100.0	-19.97	20.13	292552095464401
-95.78278	29.34278	100.0	-26.06	16.44	292033095465701
-95.95139	29.48528	100.0	5.16	19.86	292906095570401
-94.98222	29.82083	100.0	-63.19	8.17	294914094585501
-95.83444	29.39778	103.0	-11.97	21.65	292351095500301
-95.98833	29.54111	105.0	11.64	27.93	293227095591701
-95.95194	29.4475	105.0	-9.41	22.74	292650095570601
-95.76472	29.53056	106.0	-13.81	22.0	293149095455201
-94.88083	29.72083	110.0	-81.6	2.56032	294314094525001
-95.89472	29.51333	110.0	-1.79	23.84	293047095534001
-95.70167	30.38917	110.0	189.41	65.96	302320095420501
-95.90139	29.54889	112.0	-1.99	21.95	293255095540401
-94.65694	29.80472	115.0	-94.7	-0.52	294816094392401
-95.85833	29.46472	116.0	-20.66	24.18	292752095512901
-94.94972	29.35583	117.0	-106.2	1.03632	6441206--
-94.82972	29.81111	120.0	-93.38	1.71	294839094494601
-95.89139	30.05111	122.0	136.23	63.38	300303095532801
-95.84028	29.49333	125.0	-35.56	18.12	292935095502401
-94.83528	29.80722	125.0	-99.32	2.34	294825094500601
-94.80222	29.8275	125.0	-101.3	-2.83	294938094480701
-94.76917	29.53139	127.0	-122.01	0.3	293152094460801
-95.15917	30.23417	130.0	0.41	29.08	301402095093201
-95.64556	29.38639	130.0	-65.79	13.48	292310095384301
-95.81833	29.53111	132.0	-36.38	18.48	293151095490501
-95.62139	29.18833	135.0	-101.04	4.65	291117095371601
-95.86028	29.37833	135.0	-50.07	19.79	292241095513601
-95.97444	29.61972	139.0	-13.26	28.57	293710095582701
-94.85083	29.74944	140.0	-106.78	4.64	294457094510201
-95.75694	29.51278	140.0	-56.54	17.82	293045095452401
-95.46361	30.00778	142.0	-24.82	28.28	300027095274801
-94.85083	29.79861	143.0	-113.45	3.52	294754094510201
-94.84278	29.80583	150.0	-125.99	1.22	294820094503301
-95.4275	30.01861	155.0	-44.61	25.02	300106095253801
-95.66972	30.07917	156.0	22.41	46.76	300444095401001
-95.62889	29.57722	160.0	-89.97	16.47	293437095374301
-95.84083	29.76472	170.0	-31.56	26.36	294552095502601
-95.85028	29.74583	172.0	-31.35	25.33	294444095510001
-95.45944	30.15361	173.0	-28.44	36.69	300912095273301
-94.86139	29.80056	175.0	-142.73	3.74	294801094514001
-95.65083	29.53111	179.0	-103.18	17.93	293151095390201
-94.87806	29.73722	180.0	-155.38	0.8	294413094524001
-94.85083	29.80028	183.0	-152.69	0.09	294800094510201
-95.6125	29.46917	185.0	-116.03	14.93	292808095364401
-94.62722	29.8625	185.0	-155.02	6.7	295144094373701
-94.84694	29.72778	192.0	-166.11	1.8	294339094504801
-94.85194	29.72528	196.0	-170.13	0.27	294330094510601
-95.97861	29.705	205.0	-89.49	26.47	294217095584201
-95.45528	30.28889	210.0	-45.41	49.07	301719095271801
-95.90889	30.05139	211.0	51.82	68.83	300304095543101
-95.95028	29.58306	214.0	-97.51	22.4	293458095570001
-94.67833	29.62833	216.0	-211.41	1.55	293741094404101
-95.45417	30.31222	220.0	1.34	47.96	301843095271401
-95.495	29.42944	220.0	-159.0	16.15	292545095294101
-95.05472	29.46445	230.0	-217.5	-0.27432	6540215--
-95.65611	30.06778	234.0	-61.07	45.39	300403095392101
-95.95417	29.58417	236.0	-120.39	22.13	293502095571401
-95.68583	29.90472	239.0	-98.03	34.28	295416095410801
-94.83639	29.73806	240.0	-218.05	0.29	294416094501001
-95.07139	29.45389	240.0	-230.7	0.79248	6540507--
-95.95361	29.58639	244.0	-128.71	22.03	293510095571201
-95.94917	29.58444	247.0	-130.42	22.43	293503095565601
-95.80889	29.69917	250.0	-128.72	23.4	294156095483101
-95.79944	29.70667	250.0	-132.4	23.96	294223095475701
-94.64722	30.09472	255.0	-190.02	14.62	300540094384901
-95.66639	29.61528	257.0	-177.23	18.52	293654095395801
-95.68861	29.70722	260.0	-166.13	26.17	294225095411801
-95.48361	29.50472	271.0	-204.15	14.89	293016095290001
-94.90056	29.77722	292.0	-271.19	-1.28	294637094540101
-95.85139	30.02972	297.0	-73.03	54.81	300146095510401
-95.51056	29.58056	297.0	-221.61	13.65	293449095303701
-95.81139	29.56	298.0	-193.2	23.4391	293335095484001
-95.48417	29.4325	300.0	-239.78	12.87	292556095290201
-95.48	29.39583	300.0	-240.14	13.67	292344095284701
-95.495	30.45472	300.0	7.8	63.34	302716095294101
-94.89389	29.85722	304.0	-250.72	-6.01	295125094533701
-95.76222	29.58306	331.0	-240.25	19.04	293458095454302
-95.91972	29.74417	334.0	-175.24	27.81	294438095551001
-95.87306	29.73861	337.0	-190.64	25.8	294418095522201
-94.59806	29.76389	340.0	-320.42	2.01	294549094355201
-95.39583	29.77083	340.0	-280.0	-2.92608	6513916--
-94.94417	29.82694	344.0	-313.22	-0.98	294936094563801
-94.63472	29.76694	345.0	-328.43	3.22	294600094380401
-95.86556	29.75417	346.0	-199.35	26.45	294514095515501
-94.92917	29.74806	346.0	-332.48	-3.5	294452094554401
-95.80778	29.56056	351.0	-247.1	21.9151	293337095482702
-95.63083	29.5725	353.0	-283.07	16.96	293420095375001
-95.73639	29.83028	359.0	-222.45	29.18	294948095441001
-95.4275	30.0775	365.0	-242.66	31.8	300438095253801
-94.80639	29.84222	370.0	-347.86	1.87	295031094482201
-95.95306	29.63417	371.0	-241.85	23.52	293802095571001
-94.88583	30.04861	399.0	-316.48	11.44	300254094530800
-94.59667	29.99028	406.0	-355.89	11.01	295924094354700
-94.92361	29.73917	410.0	-398.62	-2.63	294420094552401
-95.59306	29.49889	420.0	-355.8	13.47	292955095353401
-94.83806	29.76639	429.0	-403.53	-3.82	294558094501601
-94.92389	29.67833	429.0	-409.79	-9.99	294041094552501
-94.86667	29.68528	438.0	-421.89	-1.95	294106094515901
-94.85167	29.76361	443.0	-413.87	-2.7	294548094510501
-95.44889	29.53861	450.0	-378.34	11.17	293218095265501
-95.54028	28.96917	478.0	-465.93	3.68	285808095322401
-94.84028	29.80583	488.0	-463.68	4.97	294820094502401
-95.74333	29.98639	499.0	-343.64	42.89	295910095443501
-95.78083	29.83111	500.0	-357.0	35.3568	6510606--
-95.00306	29.34667	500.0	-486.5	0.79248	6548315--
-94.80528	29.82694	501.0	-468.77	4.64	294936094481801
-95.04278	29.46806	504.0	-488.4	0.36576	6540210--
-95.00667	29.7425	509.0	-485.79	-16.4	294432095002301
-95.80528	29.55889	515.0	-412.03	18.89	293331095481802
-95.17972	29.7275	515.0	-486.0	-14.0208	256523233--
-95.00306	29.74611	515.0	-492.75	-4.5	294445095001001
-95.00889	29.73583	516.0	-494.57	-28.22	294408095003101
-95.02417	29.43667	526.0	-508.8	0.64008	292611095012601
-95.06361	29.88	533.0	-486.0	7.65048	6508809--
-95.28445	29.78917	540.0	-496.0	-1.85928	6514908--
-95.86056	29.78444	545.0	-395.13	30.9	294703095513700
-95.80972	29.71917	545.0	-422.77	24.47	294308095483401
-95.03	29.54722	545.0	-528.0	-8.9916	6532624--
-95.01528	29.72278	545.0	-531.4	-1.95	294321095005401
-95.57639	30.32028	546.0	-274.39	56.88	301912095343401
-94.91056	29.66389	550.0	-529.88	-10.63	293949094543701
-94.915	29.69722	550.0	-541.96	-5.17	294149094545301
-95.55944	28.93222	550.0	-543.65	-4.77	285555095333301
-94.85972	29.77194	556.0	-521.06	-1.54	294618094513401
-95.47	30.01278	556.0	-440.77	27.72	300045095281101
-95.41111	29.77056	558.0	-499.0	11.8872	6513914--
-95.01833	29.74806	558.0	-537.06	-11.3	294452095010501
-95.0925	29.51111	560.0	-544.57	-9.82	293039095053201
-95.70028	30.38194	566.0	-260.2	72.4814	302254095420001
-95.00139	29.73917	568.0	-546.47	-31.84	294420095000401
-95.27944	29.75861	569.0	-527.0	-4.54152	6514914--
-95.02167	29.65167	570.0	-543.0	-3.9624	6524914--
-95.07806	29.53528	570.0	-558.0	-9.23544	6532801--
-95.01083	29.74389	571.0	-548.67	-16.36	294437095003801
-95.3875	29.76833	571.0	-516.0	-6.00456	6513918--
-95.83306	29.71667	586.0	-453.87	20.59	294259095495801
-95.89389	29.72417	596.0	-448.58	25.73	294326095533701
-95.21889	29.54083	600.0	-567.3	-1.85928	6531705--
-94.89528	29.6625	600.0	-575.22	-1.59	293944094534201
-95.34778	29.22972	600.0	-576.08	0.52	291346095205101
-95.66278	30.38361	606.0	-302.1	70.9879	302300095394501
-95.77139	29.78472	609.0	-476.39	29.36	294704095461601
-95.43361	29.71417	610.0	-554.0	5.21208	6521217--
-94.93389	29.37639	610.0	-596.0	-9.4488	86433811--
-95.37583	29.76028	625.0	-582.65	-5.32	294536095223201
-95.84833	29.73361	628.0	-488.59	24.83	294400095505301
-94.89917	29.65972	630.0	-606.95	-2.12	293934094535601
-94.83972	29.74333	634.0	-608.48	-4.41	294435094502201
-95.47222	29.21472	635.0	-599.4	10.55	291252095281901
-95.89278	29.86333	641.0	-468.1	35.75	295147095533300
-95.43806	29.71556	650.0	-593.0	4.45008	6521220--
-95.54417	29.39972	655.0	-603.75	11.96	292358095323801
-95.46528	29.58167	665.0	-598.48	5.62	293453095275401
-95.35389	29.82194	666.0	-602.0	1.92024	6514413--
-95.29083	29.77056	676.0	-634.28	-6.13	294613095172601
-95.31445	29.73695	694.0	-654.0	-2.83464	6522212--
-95.30639	29.73111	697.0	-664.0	-5.54736	6522214--
-95.46889	29.7025	712.0	-657.15	2.47	294208095280701
-95.05278	29.36056	720.0	-700.8	2.40792	6548228--
-95.01917	29.3475	720.0	-703.7	1.31064	292050095010801
-95.04083	29.3525	720.0	-704.5	1.09728	6548314--
-95.84528	29.70583	723.0	-588.47	26.01	294220095504201
-95.635	29.6225	733.0	-656.99	14.02	293720095380501
-94.90195	29.38472	740.0	-731.0	0.54864	6433913--
-95.00806	29.73139	743.0	-724.48	-7.16	294352095002801
-95.04417	29.45917	750.0	-736.1	-1.18872	6540212--
-94.87056	29.67611	755.0	-734.83	-3.0	294033094521301
-95.19167	29.51195	763.0	-736.8	-2.10312	6531818--
-95.88944	29.87056	767.0	-589.85	36.98	295213095532101
-95.38861	29.72333	777.0	-727.0	-8.59536	6521321--
-95.13056	29.73028	790.0	-764.0	-4.572	6523314--
-95.0225	29.33806	790.0	-779.9	1.55448	6548306--
-95.40417	30.02361	793.0	-685.59	25.58	300124095241401
-95.05278	29.36056	796.0	-773.0	-2.68224	6548227--
-95.22583	29.47222	800.0	-764.01	-2.35	292819095133201
-94.90472	29.37778	801.0	-792.0	-17.5565	6433906--
-95.21806	29.73111	802.0	-784.61	-14.44	294351095130401
-95.14556	29.56972	806.0	-774.0	4.8768	6531601--
-95.16611	30.3275	809.0	-638.2	55.1078	301938095095701
-95.38417	29.72333	830.0	-780.0	6.4008	6521322--
-95.2	29.62361	832.0	-791.53	-10.39	293724095115901
-95.34445	29.79389	834.0	-781.0	-3.01752	6514425--
-95.2125	29.71361	834.0	-807.0	-25.8166	6523151--
-95.22556	29.72194	836.0	-818.0	-11.2166	206523139--
-95.07944	29.36972	840.0	-815.38	-9.32	292210095044501
-95.07583	29.36778	843.0	-819.3	-7.34	292203095043201
-95.07472	29.36944	855.0	-835.9	-8.31	292209095042801
-95.13028	29.72667	860.0	-827.0	-2.4384	6523315--
-94.97139	29.38028	860.0	-845.6	3.71856	6433709--
-95.63278	30.07583	864.0	-688.66	35.16	300432095375701
