Depth_BLS	Depth_NAVD	GW_Level	Well_ID
550	-543.65	-4.77	285555095333301
253	-246.81	-6.65	285627095224401
252	-244.84	-4.52	285640095224101
263	-263	-10.06	285642095183001
252	-246.63	-5.07	285703095193501
478	-465.93	3.68	285808095322401
98	-85.84	0.96	285909095342501
558	-534.03	-4.28	285923095310002
135	-101.04	4.65	291117095371601
635	-599.4	10.55	291252095281901
600	-576.08	0.52	291346095205101
100	-26.06	16.44	292033095465701
48	27.21	16.22	292101095531301
22.5	54.09	17.58	292104095504801
884	-863.97	-7.84	292144095033601
90	-10.02	18.28	292145095523701
873	-852.97	-8.62	292155095041001
843	-819.3	-7.34	292203095043201
855	-835.9	-8.31	292209095042801
840	-815.38	-9.32	292210095044501
1000	-986.7	-11.97	292235094562701
914	-898.96	3.3	292236094580401
135	-50.07	19.79	292241095513601
24	60.5	19.66	292245095484501
130	-65.79	13.48	292310095384301
300	-240.14	13.67	292344095284701
40	27.93	15.22	292350095445201
103	-11.97	21.65	292351095500301
655	-603.75	11.96	292358095323801
38	47.83	18.24	292455095485801
26	54.26	20.2	292538095465501
220	-159	16.15	292545095294101
67	12.97	20.11	292551095464301
19	70.84	23.12	292551095585601
100	-19.97	20.13	292552095464401
300	-239.78	12.87	292556095290201
52	38.01	21.95	292631095501701
90	9.37	21.14	292648096000101
105	-9.41	22.74	292650095570601
60	36.75	23.39	292656095594501
30	45.63	19.7	292726095464302
85	-11.62	17.79	292745095413401
116	-20.66	24.18	292752095512901
100	-0.17	18.24	292802095551501
600	-544.27	14.24	292808095343401
185	-116.03	14.93	292808095364401
800	-764.01	-2.35	292819095133201
84.5	19.44	23.45	292831095591201
86	17.17	19.25	292900095561001
209	-138.91	9.17	292901095371601
100	5.16	19.86	292906095570401
125	-35.56	18.12	292935095502401
33.4	75.91	24.78	292948096001001
420	-355.8	13.47	292955095353401
22	88.62	27.62	293005095542101
271	-204.15	14.89	293016095290001
80	8.61	20.91	293025095473501
82	17.61	19.69	293025095505401
96	11.77	22.18	293027095535901
85	6.73	18.82	293030095482901
560	-544.57	-9.82	293039095053201
140	-56.54	17.82	293045095452401
110	-1.79	23.84	293047095534001
79	-1.09	11.56	293049095422901
32	81.16	29.92	293106095590301
660	-654.58	-11.15	293111095062101
90	8.43	17.81	293117095502701
84	25.91	26.19	293127095523801
82	30.07	23.49	293142095580701
76	32.79	25.23	293147095514901
106	-13.81	22.0	293149095455201
179	-103.18	17.93	293151095390201
132	-36.38	18.48	293151095490501
127	-122.01	0.3	293152094460801
268	-263.05	1.2	293206094430901
450	-378.34	11.17	293218095265501
86	17.67	22.45	293221095504201
82	13.42	22.68	293223095465001
105	11.64	27.93	293227095591701
85	28.59	27.92	293242095560801
82	20.44	22.08	293247095495501
64	50.84	24.64	293252095545501
112	-1.99	21.95	293255095540401
92	8.99	21.64	293305095482701
97	5.86	24.34	293319095484901
18	-5.74	2.21	293324094433702
82	17.84	16.72	293324095471901
515	-412.03	18.89	293331095481802
82	18.01	18.29	293348095471001
353	-283.07	16.96	293420095375001
50	49.2	15.36	293422095464501
160	-89.97	16.47	293437095374301
297	-221.61	13.65	293449095303701
665	-598.48	5.62	293453095275401
86	14.35	21.44	293453095461001
331	-240.25	19.04	293458095454302
214	-97.51	22.4	293458095570001
236	-120.39	22.13	293502095571401
247	-130.42	22.43	293503095565601
240	-123.51	19.05	293505095572301
244	-128.71	22.03	293510095571201
505	-492.15	-13.27	293513094594901
583	-556.76	-16.08	293545095101101
600	-586.75	-14.86	293609094591001
520	-506.7	-15.76	293639094593001
25	-20.01	-1.22	293652094405401
257	-177.23	18.52	293654095395801
139	-13.26	28.57	293710095582701
1606	-1531.23	22.26	293717095380101
733	-656.99	14.02	293720095380501
1049	-972.99	11.95	293720095380502
604	-527.99	20.03	293720095380503
832	-791.53	-10.39	293724095115901
216	-211.41	1.55	293741094404101
371	-241.85	23.52	293802095571001
526	-507.13	-15.65	293807095070801
807	-787.85	-0.26	293812095061901
210	-205.02	-0.01	293830094363101
630	-606.95	-2.12	293934094535601
630	-604.24	-8.91	293938094534301
600	-575.22	-1.59	293944094534201
550	-529.88	-10.63	293949094543701
494	-478.19	-14.69	294001094595601
93	-87.1	-3.69	294004094553501
557	-541.83	-20.07	294010095001901
480	-474.62	1.03	294030094395401
755	-734.83	-3.0	294033094521301
450	-451.47	-19.89	294038094585101
429	-409.79	-9.99	294041094552501
450	-451.47	-20.17	294046094585401
934	-917.21	-17.74	294047095000401
438	-421.89	-1.95	294106094515901
876	-842.3	-12.44	294106095171201
550	-541.96	-5.17	294149094545301
250	-128.72	23.4	294156095483101
712	-657.15	2.47	294208095280701
205	-89.49	26.47	294217095584201
723	-588.47	26.01	294220095504201
250	-132.4	23.96	294223095475701
260	-166.13	26.17	294225095411801
900	-870.97	-9.56	294227095061401
1192	-1166.56	-30.04	294233095144201
1188	-1114.24	10.34	294253095352701
470	-391.01	15.38	294258095372501
586	-453.87	20.59	294259095495801
545	-422.77	24.47	294308095483401
1701	-1683.28	-26.91	294313095135001
545	-531.4	-1.95	294321095005401
97	-70.84	0.66	294323094545501
442	-424.12	-22.9	294325094595901
596	-448.58	25.73	294326095533701
590	-439.58	24.51	294328095540801
196	-170.13	0.27	294330094510601
1329	-1305.58	-14.5	294333095073301
913	-883.47	-22.09	294336095082101
509	-482.54	-17.84	294336095082601
192	-166.11	1.8	294339094504801
450	-433.08	-24.71	294347095001601
802	-784.61	-14.44	294351095130401
743	-724.48	-7.16	294352095002801
628	-488.59	24.83	294400095505301
315	-182.49	20.42	294404095501501
516	-494.57	-28.22	294408095003101
180	-155.38	0.8	294413094524001
900	-884.98	-11.12	294415095165301
240	-218.05	0.29	294416094501001
90	-76.57	-1.09	294418094551901
337	-190.64	25.8	294418095522201
410	-398.62	-2.63	294420094552401
568	-546.47	-31.84	294420095000401
282	-261.37	1.11	294425095011501
974	-954.54	-20.59	294427095011801
105	-87.96	-1.82	294430094412201
509	-485.79	-16.4	294432095002301
634	-608.48	-4.41	294435094502201
571	-548.67	-16.36	294437095003801
334	-175.24	27.81	294438095551001
496	-345.87	25.58	294439095530301
525	-506.88	-18.86	294442095014101
172	-31.35	25.33	294444095510001
515	-492.75	-4.5	294445095001001
463	-461.7	-22.46	294449095031001
346	-332.48	-3.5	294452094554401
998	-976.23	-11.04	294452095010201
558	-537.06	-11.3	294452095010501
140	-106.78	4.64	294457094510201
499	-475.87	-17.33	294457095044701
346	-199.35	26.45	294514095515501
625	-582.65	-5.32	294536095223201
443	-413.87	-2.7	294548094510501
340	-320.42	2.01	294549094355201
